number,latitude,longitude,altitude,horizontalAccuracy,verticalAccuracy,speed,course,recordedAt,activity,trackingMode,timezone,appContext,batteryStatus,batteryRemaining,batterySaver,networkStatus,locationPermission,deviceModel,networkType,networkState,buildID,kernelVersion,ipAddress,publicIpAddress,deviceName,systemName,osVersion,idfv,idfa,wifiSSID,localeCountry,localeLanguage,carrierName,appInstallationDate,appVersion,source,lastAppOpened,manufacturer,androidSdkVersion,androidReleaseVersion,buildType,buildVersionIncremental,aaid,testCentroid,centroid,installedApplications
1,13.116310703200181,77.62485343891188,908.3479503951702,29.120431242327857,30,0,-1,2025-01-17T06:40:44.918Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:32540,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
2,13.116596732959087,77.62522721075622,910.445033119368,17.060249974863595,81.19924926757812,19,-1,2025-01-17T06:40:54.926Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:28665,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLLocation,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
3,13.117367392580835,77.62519803130562,912.8623658164114,21.31905630476202,30,9,-1,2025-01-17T06:41:28.748Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:28665,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
4,13.121651099845355,77.62587184161349,0,20,-1,18,-1,2025-01-17T06:43:06.229Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:19234,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
5,13.114602189474219,77.6237676082888,0,16.32388235738303,0,0,-1,2025-01-17T06:43:27.548Z,Stop,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:25399,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLVisit-Departure,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
6,13.12181601412684,77.62509596138518,923.2921576897561,8.517024772726487,33.264,14,-1,2025-01-17T06:43:28.987Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,152.58.243.89:24285,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
7,13.12166524396583,77.62334635500932,919.6764149190202,19.631066001843717,30.013369344,15,-1,2025-01-17T06:44:15.870Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Wifi,Connected,com.roam.jakala,24.1.0,192.168.0.190,152.58.243.89:23516,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,ACTFIBERNET_5G,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
8,13.121536832386585,77.61995311036117,0,23,-1,7,-1,2025-01-17T06:47:26.512Z,Moving,ACTIVE,+0530,B,Unplugged,50,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:30977,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
9,13.121624501128677,77.62020841769537,915.0782574865133,2.63590075026829,3,0,112.28686195490569,2025-01-17T06:56:50.147Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:29043,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
10,13.121614225204771,77.62023583363742,914.0505675207824,2.298296017593377,13.631019644964095,0,117.78127270572146,2025-01-17T06:57:20.328Z,Stop,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:25131,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLVisit-Arrival,17-01-2025 11:09,iPhone,-,-,-,-,-,-,[object Object],-
11,13.121627217621782,77.62225984199675,918.3435359663519,19.07006435061967,30,11,-1,2025-01-17T06:58:06.378Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:21179,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
12,13.121654405196264,77.62312234559278,917.9691213453068,14,3,34,91.39441977448222,2025-01-17T06:58:16.375Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:26358,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLLocation,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
13,13.121618238667155,77.62358917322909,919.3430042145316,16.634207908950355,30,4,-1,2025-01-17T06:59:03.199Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Wifi,Connected,com.roam.jakala,24.1.0,192.168.0.190,36.9.64.242:20696,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,ACTFIBERNET_5G,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
14,13.12153080459682,77.61989234363014,914.5870749230953,14,3,21,273.4876865187509,2025-01-17T07:00:12.947Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.6.116.0:22725,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
15,13.121274621914205,77.62591166720472,921.4270155827649,11.61735762793922,3,10,192.1848029410708,2025-01-17T07:04:16.983Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:25360,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLLocation,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
16,13.118278403870013,77.62536702256405,914.6202161641694,15.753216974548812,30,33,-1,2025-01-17T07:04:54.138Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:31188,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLRegion,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
17,13.118120378910708,77.62511832953787,915.1134693513548,7.301862185382764,16.911855697631836,35,-1,2025-01-17T07:04:57.494Z,Moving,ACTIVE,+0530,B,Unplugged,45,false,true,true,iPhone 15 Pro Max,Cellular,Connected,com.roam.jakala,24.1.0,,36.9.64.242:27634,iPhone,iOS,18.1.1,58212C42-79F3-46D8-827A-5FC518EDF1A9,,,IN,en,--,2025-01-17T05:20:41Z,0.1,CLLocation,17-01-2025 11:09,iPhone,-,-,-,-,-,-,-,-
